ID,Class,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Feature51,Feature52,Feature53,Feature54,Feature55,Feature56,Feature57,Feature58,Feature59,Feature60,Feature61,Feature62,Feature63,Feature64,Feature65,Feature66,Feature67,Feature68,Feature69,Feature70,Feature71,Feature72,Feature73,Feature74,Feature75,Feature76,Feature77,Feature78,Feature79,Feature80
11,BACKGROUND_Google,3,2,1,1,2,1,6,1,1,1,1,6,1,2,2,0,1,2,0,1,0,1,2,1,2,3,4,2,1,4,3,5,2,3,4,1,2,3,0,2,0,1,0,0,1,3,2,1,1,3,5,4,1,1,3,0,2,2,2,4,3,1,1,0,1,1,1,0,0,0,1,2,1,0,0,1,1,2,2,1
12,laptop,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,1,1,0,0,0,0,2,3,1,3,1,3,1,2,4,0,0,0,0,0,2,0,0,2,1,0,1,2,4,5,1,2,0,6,6,0,3,2,4,7,2,2,3,5,6,1,1,3,3,5,0,0,0,3,6,0,2,5,3,5,0,1,0,5,4
13,Faces,1,1,3,0,1,0,3,0,3,2,4,1,2,2,0,6,0,1,0,1,3,0,4,1,1,2,4,6,7,2,5,1,2,1,0,6,0,1,0,0,2,0,0,2,1,5,2,4,6,3,4,2,1,2,1,3,3,0,0,2,2,1,4,1,2,5,1,7,2,2,1,3,2,5,3,0,1,1,1,2
14,brontosaurus,0,3,1,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,2,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,3,4,5,2,2,2,3,5,0,5,3,1,2,0,0,0,0,0,4,1,2,3,5,4,0,2,4,4,0,0,0,0,0
15,watch,0,0,0,0,0,0,1,0,0,2,0,1,0,2,1,0,0,0,0,0,4,4,1,2,2,4,3,5,3,6,3,4,3,6,6,3,5,1,2,2,5,4,2,3,3,5,3,4,5,5,4,3,5,2,6,5,4,2,1,2,0,0,0,0,0,0,1,0,1,2,0,2,1,0,2,0,0,0,0,0
16,cougar_face,1,3,4,5,0,1,3,4,3,1,0,4,0,0,0,0,1,1,1,1,1,0,1,1,1,4,3,6,4,6,4,2,5,6,6,2,1,3,3,2,2,1,2,1,1,4,2,6,6,5,4,3,6,6,5,3,1,3,3,2,2,1,5,4,2,3,3,6,6,5,2,3,6,5,4,1,3,5,3,3
17,brain,3,4,2,4,2,1,4,3,1,1,0,3,3,3,2,0,2,0,0,1,1,0,6,1,3,4,3,6,3,6,2,4,7,5,5,2,1,1,1,4,3,3,3,5,5,4,2,7,4,5,3,3,6,3,6,3,1,3,1,3,0,0,0,1,1,3,3,6,4,3,2,5,3,1,4,0,1,1,0,1
18,ketch,0,3,0,0,0,3,1,2,2,1,0,1,0,0,0,0,0,0,0,0,3,2,2,2,2,5,0,1,3,2,1,2,0,2,1,0,1,1,2,0,2,2,5,3,3,6,1,2,7,2,1,1,2,7,2,0,5,3,6,1,1,6,2,5,5,1,5,5,6,4,1,5,4,7,4,1,6,5,4,4
19,ceiling_fan,0,2,1,1,0,0,2,1,3,2,0,1,2,2,1,0,3,5,1,1,0,4,1,1,2,0,7,3,3,0,2,6,3,4,3,2,5,4,3,4,0,4,3,1,1,0,4,5,0,2,2,5,3,1,3,1,5,1,3,3,0,4,0,1,0,0,0,1,3,0,5,4,3,6,0,5,4,6,5,1
20,car_side,5,3,5,7,4,4,4,6,5,5,3,3,7,5,5,2,5,7,4,4,0,7,2,2,3,0,7,3,4,2,1,6,6,6,2,1,7,1,3,5,0,7,1,3,1,1,7,4,2,2,0,7,3,3,2,1,6,4,4,2,0,7,6,2,3,0,5,5,1,2,0,6,3,1,1,0,5,0,0,1
21,butterfly,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,3,1,2,6,4,4,0,4,3,4,2,0,1,1,1,2,0,0,0,1,5,0,5,4,5,6,3,5,4,2,0,0,4,1,1,0,0,0,0,0,1,2,2,0,2,3,1,2,2,3,1,0,0,1,1
22,platypus,1,5,5,4,5,0,6,7,4,3,0,5,5,2,5,1,5,4,4,3,1,6,4,4,4,1,5,2,6,6,1,4,6,5,6,1,4,4,6,6,2,1,4,3,3,1,3,3,5,3,2,3,7,5,3,0,3,1,1,2,1,1,3,3,3,0,0,2,1,2,2,0,5,3,5,4,2,4,6,4
23,BACKGROUND_Google,3,4,5,4,3,4,2,3,3,4,4,3,4,3,3,5,2,2,1,2,4,6,1,5,4,5,2,6,5,4,5,2,3,5,6,4,1,4,4,2,3,4,5,2,5,2,3,3,1,2,4,2,5,6,5,5,1,5,5,2,4,2,7,3,5,3,2,6,6,6,4,2,4,5,6,4,0,3,3,2
24,Motorbikes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,2,2,1,3,4,1,2,1,0,0,0,0,1,1,1,0,1,1,7,3,4,4,3,5,4,3,6,3,1,2,1,2,0,0,0,0,0,0,3,0,1,2,0,5,0,0,0,0,1,1,1,1
25,BACKGROUND_Google,1,3,2,0,2,0,4,4,4,4,1,4,2,2,5,2,2,1,2,2,2,3,1,5,1,0,5,4,1,5,3,1,1,5,4,2,1,6,2,5,3,2,3,4,5,1,2,2,2,4,1,1,3,3,3,2,2,4,2,2,1,2,3,6,3,2,4,5,4,3,1,3,2,0,4,2,2,3,1,2
26,airplanes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,2,0,0,1,0,2,2,3,1,0,2,0,0,0,0,3,1,2,2,0,6,2,6,4,0,5,5,4,3,0,1,3,2,2,0,0,0,0,0,0,2,0,2,0,0,2,1,0,1,2,1,1,0,0
27,emu,4,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,4,0,2,3,4,5,1,3,2,2,3,0,0,0,0,1,0,0,0,4,1,1,2,4,7,6,4,1,4,6,6,2,2,4,7,5,0,0,0,0,0,2,1,0,0,1,5,0,1,4,2,0,0,1,2,1
28,pizza,0,0,0,0,1,2,5,4,5,4,1,5,2,7,4,1,4,7,4,3,3,3,4,5,6,3,3,7,5,6,3,3,6,5,6,1,2,5,4,5,4,3,5,6,6,1,3,7,6,6,3,2,6,5,7,2,2,7,3,6,2,6,4,5,5,1,7,4,5,4,2,5,5,4,4,0,3,6,0,3
29,Leopards,2,4,1,2,1,0,4,3,1,0,1,5,2,6,1,3,3,3,1,1,3,1,4,3,2,1,2,3,4,6,2,1,5,3,6,4,1,4,3,2,4,1,3,5,6,3,1,4,6,7,2,3,4,3,7,5,1,3,3,7,4,3,5,5,5,2,4,5,3,6,2,4,5,4,7,4,2,3,5,7
30,wrench,0,0,0,0,0,1,1,2,1,4,0,0,0,3,3,0,0,0,0,0,1,0,3,0,3,0,1,1,0,1,1,3,2,1,3,1,1,1,3,5,1,1,3,5,6,0,2,2,1,2,0,2,1,1,2,1,0,4,0,2,0,0,0,0,0,0,0,0,3,3,0,1,2,1,3,0,0,0,0,0
31,accordion,0,0,5,0,3,2,1,6,4,7,4,1,3,7,4,0,0,0,6,3,3,1,7,2,5,2,2,5,6,6,2,2,2,7,6,3,2,4,6,6,2,1,6,6,7,2,1,7,5,6,2,1,6,5,7,2,1,5,3,5,0,0,0,6,3,1,1,6,5,6,3,1,7,4,6,0,0,4,1,2
32,cup,2,2,2,3,4,0,2,0,0,1,0,3,1,1,2,5,5,0,2,1,6,0,2,2,3,0,3,0,2,2,5,2,4,0,2,6,4,1,4,3,5,1,1,2,2,3,4,4,7,5,4,3,3,1,6,6,5,4,0,3,3,0,2,1,4,1,6,2,2,2,2,6,4,1,3,5,6,3,3,2
33,Faces,4,3,4,4,4,1,2,4,5,2,4,3,5,3,4,4,5,1,4,2,1,5,0,0,2,5,3,6,3,3,5,3,2,4,2,3,5,1,1,2,3,0,0,0,0,6,3,4,4,4,4,0,2,0,2,3,0,0,0,0,4,2,3,0,2,5,3,6,6,4,5,2,2,6,5,4,0,1,2,1
34,watch,1,0,4,0,2,0,2,2,2,1,0,0,1,3,1,0,0,0,1,1,4,2,4,5,2,2,3,5,6,5,2,3,1,7,5,3,2,2,5,1,3,1,1,5,2,2,2,2,6,5,2,2,5,3,5,5,0,2,3,2,0,0,0,1,1,0,0,0,2,1,0,0,2,1,2,1,0,1,0,1
35,dolphin,3,3,6,5,5,2,2,3,7,4,2,5,4,4,4,0,4,1,6,4,4,3,3,5,5,0,3,7,1,3,0,6,4,0,1,0,6,5,4,3,3,4,3,4,6,1,4,6,4,6,4,3,3,6,5,3,2,2,5,5,3,2,1,4,6,3,2,5,4,6,3,2,4,3,6,2,1,3,4,6
36,Motorbikes,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,1,2,0,4,3,4,3,2,5,4,6,6,0,0,1,2,1,2,1,0,2,2,1,5,6,6,5,4,2,4,1,7,2,1,2,3,3,0,0,0,2,1,0,3,1,0,1,0,2,0,1,1,0,1,3,0,1
37,sunflower,4,1,7,5,6,4,2,5,5,5,3,3,7,6,5,3,3,6,6,6,3,3,6,5,6,1,1,6,6,4,3,3,5,3,5,4,1,6,6,6,2,3,6,6,7,3,1,3,6,3,3,3,6,5,6,2,3,3,5,6,2,3,6,4,7,3,3,5,5,6,3,4,4,4,6,2,4,6,6,6
38,Faces,6,1,0,0,0,2,3,6,3,3,3,3,3,5,3,0,2,0,0,0,3,1,0,1,0,5,4,6,3,2,6,1,4,6,2,0,0,0,0,0,2,0,0,0,0,6,1,4,3,4,6,1,6,4,4,0,0,0,2,0,1,1,1,0,0,2,3,5,4,3,3,5,4,5,3,1,1,1,1,2
39,Faces,5,1,0,1,1,2,6,2,5,4,4,7,2,4,3,6,0,0,0,0,6,1,0,1,1,5,3,5,6,2,6,2,5,6,3,6,0,0,0,0,7,1,1,1,1,4,3,6,6,3,6,1,4,4,5,5,0,0,0,0,6,0,2,1,2,2,3,3,4,3,4,0,4,4,4,5,1,0,7,1
40,ibis,0,7,2,0,1,0,7,0,3,1,0,7,2,0,0,0,6,0,3,1,1,6,6,3,2,1,6,5,2,2,0,6,6,5,4,0,6,4,5,2,3,4,5,2,5,3,3,4,4,3,0,6,1,1,2,3,6,5,3,2,1,5,4,3,4,1,5,5,3,2,0,7,1,2,1,2,4,3,4,2
41,brain,0,0,2,0,2,2,3,4,1,5,3,4,6,2,4,1,0,0,2,2,3,2,4,2,6,1,6,5,2,6,3,4,3,6,6,2,4,3,4,5,0,3,1,1,2,2,5,3,5,6,5,2,3,4,7,2,3,4,5,4,0,0,0,0,0,0,0,0,0,0,3,2,0,4,2,0,0,2,0,1
42,menorah,5,1,1,2,2,5,1,1,5,3,5,2,3,3,3,4,2,2,1,3,3,0,0,6,3,2,1,1,3,7,3,2,7,1,6,2,0,4,0,5,0,0,0,1,0,1,2,0,2,3,2,3,3,3,4,0,0,1,0,1,0,0,0,0,0,1,3,1,1,2,0,5,3,1,3,0,0,0,0,0
43,Motorbikes,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,3,2,1,1,3,1,5,5,2,1,2,3,4,4,5,2,1,3,3,2,4,1,5,1,2,2,4,6,4,5,5,4,5,5,5,3,2,4,6,2,1,2,0,3,1,0,6,3,0,2,0,6,0,1,1,1,3,3,0,1
44,chair,1,2,0,0,2,5,1,1,1,2,2,0,1,1,2,4,1,4,1,2,5,1,2,7,6,2,0,1,3,3,0,0,0,0,1,0,1,1,2,1,4,3,0,2,3,1,3,5,6,6,2,5,2,1,6,3,3,3,4,5,4,3,2,4,3,1,4,1,6,3,1,6,5,3,3,1,4,4,1,3
45,Motorbikes,0,1,1,1,0,3,2,5,5,5,3,2,5,5,5,5,0,1,0,1,0,4,1,1,2,1,6,1,6,5,3,4,6,3,6,3,2,2,3,2,2,1,4,1,3,2,4,6,6,6,5,2,6,4,6,3,1,4,3,3,1,2,1,4,3,0,7,4,1,3,1,6,4,3,2,2,2,5,3,3
46,airplanes,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,4,0,2,0,1,3,0,3,0,1,1,0,2,0,0,0,1,2,1,3,2,0,7,2,3,2,1,6,3,3,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
47,airplanes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,5,2,0,3,2,0,0,0,1,0,1,1,1,1,0,0,1,0,7,3,3,2,1,6,3,2,2,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
48,chair,1,0,1,0,2,1,1,4,5,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,1,6,1,1,4,6,3,1,1,5,3,2,1,0,1,1,1,4,0,0,0,4,2,4,5,6,4,3,4,2,4,3,2,0,3,1,0,2,0,0,0,2,4,2,6,2,1,5,0,1,3,0,4,2,1,1
49,cellphone,0,0,1,0,1,2,1,1,1,2,3,1,0,1,1,0,0,0,1,1,0,0,3,0,2,1,1,4,4,3,2,2,3,4,5,2,0,3,2,2,3,2,4,4,6,3,2,5,4,6,2,1,4,1,6,0,2,2,1,2,0,1,1,2,4,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2
50,cup,3,1,2,1,2,5,3,3,2,1,1,2,2,2,2,0,0,0,1,1,5,0,0,0,1,5,1,3,4,2,5,0,1,0,1,6,0,1,3,1,3,0,0,2,1,1,0,0,0,1,3,0,1,5,2,5,1,2,1,2,3,0,0,0,0,5,1,1,1,0,4,1,1,0,0,0,1,0,0,0
51,dolphin,1,3,6,3,1,0,4,2,1,1,1,3,6,3,2,1,2,5,4,6,1,6,4,3,1,1,4,1,6,2,1,4,3,5,2,0,5,3,3,5,0,4,0,1,0,1,5,0,6,1,0,4,0,5,2,0,6,3,4,3,0,0,0,1,0,0,1,1,3,2,1,2,2,4,3,1,3,4,5,4
52,umbrella,0,0,2,0,2,0,1,5,0,3,0,2,1,5,3,0,0,0,5,2,0,3,4,1,2,1,2,5,1,2,3,2,0,5,2,1,2,1,4,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
53,stop_sign,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,3,1,1,2,4,0,0,0,0,0,0,0,0,0,0,3,0,1,5,1,3,0,4,2,1,0,0,0,0,0,2,2,1,6,3,2,3,4,4,2,1,3,2,3,4,0,3,2,5,2
54,minaret,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,3,2,2,5,3,5,1,1,1,1,3,2,2,4,5,5,1,1,6,3,4,1,3,5,1,4,0,2,6,1,7,0,1,3,2,2,0,3,7,2,6,2,1,4,6,7,1,0,4,0,5
55,schooner,0,0,0,0,0,2,1,3,2,3,1,0,0,0,0,0,0,0,0,0,2,0,2,2,1,4,1,3,6,5,2,0,2,6,3,0,0,0,0,0,1,0,1,0,1,5,0,2,6,3,4,0,1,7,6,0,0,0,1,0,1,6,2,2,3,1,5,4,6,4,2,6,4,6,4,0,5,2,2,3
56,ferry,1,1,1,3,0,0,2,1,1,0,0,2,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,6,3,5,1,1,6,5,2,5,1,6,4,4,3,2,6,5,4,3,0,5,5,4,3,2,5,6,6,3,1,5,5,3,5,1,4,2,2,4
57,flamingo,4,2,4,4,2,3,0,2,4,3,4,0,2,2,3,3,1,3,3,1,3,2,3,4,5,5,3,3,2,3,6,3,4,0,3,5,4,2,3,4,2,3,6,4,6,4,3,6,5,5,1,4,7,5,6,5,4,3,5,5,3,1,2,4,5,1,5,4,6,4,1,2,3,7,7,3,2,7,4,6
58,hedgehog,3,2,5,5,7,4,3,7,3,5,1,4,5,6,6,2,3,3,6,4,2,1,7,5,7,3,2,6,2,7,3,2,5,7,7,3,1,6,5,7,4,2,7,5,6,4,3,6,6,5,2,1,5,3,7,2,2,5,4,7,5,2,5,7,4,3,2,7,3,6,3,2,6,7,5,2,3,5,6,7
59,Faces,0,0,0,0,1,1,5,7,0,3,1,4,3,6,3,4,3,5,4,4,6,1,5,1,3,5,2,7,5,4,6,3,3,7,3,5,3,1,5,5,5,2,2,1,1,6,2,5,7,3,6,3,5,5,3,5,1,3,1,3,5,3,1,6,4,4,2,4,7,4,5,1,7,4,5,2,4,1,3,2
60,pagoda,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,2,0,0,1,0,1,1,1,1,3,4,1,1,3,7,7,0,0,0,1,0,2,1,3,5,4,1,1,3,7,7,1,0,2,3,3,1,0,2,2,2,0,0,2,6,3,1,1,3,5,4,1,1,1,2,3,1,0,3,2,3
61,airplanes,3,3,5,4,2,3,5,5,3,3,1,7,3,5,3,3,6,3,4,3,2,4,2,4,2,1,7,4,2,3,2,7,3,3,2,3,5,3,2,1,1,4,0,0,1,1,6,2,5,3,1,6,3,3,3,0,6,1,2,3,1,3,0,0,0,0,7,0,0,0,0,6,2,2,1,0,6,1,0,2
62,airplanes,1,3,1,3,1,0,4,0,0,0,0,4,1,0,0,1,3,0,0,0,1,4,3,4,2,0,6,1,3,1,0,6,2,2,1,2,2,1,2,1,0,5,1,2,1,0,6,2,4,2,1,6,3,5,2,2,4,3,3,2,1,2,0,0,1,0,6,3,1,3,1,6,3,3,2,2,4,3,1,2
63,airplanes,2,5,2,0,3,2,4,2,5,7,3,5,4,6,3,3,4,4,4,4,5,3,2,5,1,1,6,5,6,4,1,6,5,4,5,1,6,3,6,4,2,2,0,1,2,0,7,2,3,2,0,7,1,3,2,0,6,1,4,3,3,5,1,1,1,3,7,4,3,1,3,6,0,3,2,4,6,4,4,2
64,saxophone,2,4,2,4,3,0,2,1,7,3,0,1,1,2,0,0,0,0,0,0,6,1,6,2,4,7,0,5,1,3,4,0,3,0,0,0,0,0,0,0,3,2,1,6,4,6,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,umbrella,0,0,1,0,3,1,2,1,0,4,1,1,0,4,3,0,0,0,3,1,2,0,1,1,4,2,0,0,0,1,1,0,0,1,1,2,0,0,0,4,0,1,0,1,1,3,1,1,2,0,1,1,2,1,0,0,1,1,0,1,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0
66,Faces,0,0,0,0,0,2,1,3,1,3,3,2,1,6,2,0,2,0,0,0,2,2,1,1,0,6,3,4,3,4,6,2,5,5,3,1,1,0,0,0,5,1,0,1,1,5,3,0,7,4,5,2,6,5,4,1,1,0,0,1,5,0,1,1,1,2,4,3,2,2,2,3,5,3,3,0,1,0,3,1
67,chandelier,0,1,0,0,0,4,1,3,5,4,4,2,5,2,5,2,1,0,0,0,0,0,0,0,0,4,2,4,3,6,6,2,5,4,4,3,0,0,0,0,3,1,1,5,3,6,3,3,6,4,5,3,6,5,4,5,3,3,2,2,0,1,0,0,0,1,2,1,1,2,2,2,1,0,2,2,1,0,0,0
68,watch,0,0,0,0,0,0,1,3,0,1,0,0,0,5,1,0,0,0,0,0,4,4,4,1,2,3,3,7,1,5,4,3,2,5,5,4,5,1,0,2,7,1,5,5,3,5,1,4,5,6,6,0,4,3,4,7,3,3,2,3,0,0,0,0,0,0,3,1,2,3,0,2,3,1,2,0,0,0,0,0
69,sea_horse,1,1,3,3,4,0,1,2,4,1,0,0,1,1,2,0,0,0,4,2,2,1,5,6,2,1,2,4,5,3,0,1,2,4,4,0,1,2,1,2,3,1,2,5,3,2,1,4,3,1,2,1,2,6,5,0,0,3,1,2,0,0,1,6,1,1,1,2,4,2,1,2,3,6,3,1,2,3,2,2
70,emu,1,2,3,4,7,1,1,4,4,3,1,3,6,6,6,2,2,5,6,7,1,4,4,4,7,4,2,6,4,5,3,2,5,5,7,4,3,6,3,6,3,2,2,6,7,2,3,6,5,6,3,2,5,6,6,3,3,5,5,6,1,4,4,6,7,2,5,5,5,6,2,4,5,4,7,2,4,4,4,6
71,pigeon,0,4,2,2,3,1,0,0,4,3,4,1,2,5,5,4,2,3,4,6,0,2,3,3,3,1,2,3,7,5,6,3,4,1,5,2,1,6,4,6,1,2,2,0,3,1,5,5,5,6,4,3,6,1,6,4,1,4,5,6,2,4,5,2,5,7,3,3,2,3,6,1,3,6,3,6,2,3,4,5
72,minaret,0,0,0,0,0,0,0,2,0,1,0,0,4,0,2,0,0,3,0,2,1,1,6,2,6,1,0,3,1,3,0,0,1,0,1,1,2,3,1,3,3,2,5,4,6,3,1,4,5,7,1,1,5,2,6,0,1,4,1,3,1,1,7,1,6,0,0,5,1,4,0,0,3,0,1,0,0,0,0,0
73,hawksbill,0,1,2,0,4,0,1,0,1,3,1,1,0,4,4,0,0,2,0,4,0,2,0,1,5,0,2,5,4,6,3,3,6,6,4,0,1,1,0,4,1,0,1,4,5,2,1,6,4,6,4,0,6,2,5,0,0,1,0,5,0,0,0,0,1,0,0,0,0,3,1,0,1,0,3,0,0,0,0,1
74,umbrella,0,0,3,0,4,2,4,3,3,4,1,4,7,1,6,1,3,7,4,7,0,3,4,2,6,1,5,2,6,4,0,3,6,4,7,0,4,6,5,7,1,3,6,2,7,0,3,6,4,7,2,3,5,5,7,1,5,6,3,7,3,2,4,6,7,2,4,6,4,7,1,3,6,6,6,2,3,6,3,7
75,Faces,0,2,2,0,0,2,5,7,1,3,0,5,2,6,4,0,1,0,4,0,5,0,2,0,2,3,2,6,5,2,3,4,4,5,3,5,0,0,2,1,7,3,3,1,3,5,3,3,6,4,3,3,6,4,5,5,0,2,1,0,3,1,7,2,2,1,3,2,6,3,3,2,7,0,2,1,0,1,4,2
76,euphonium,1,0,0,0,1,1,5,2,1,1,0,6,2,1,1,1,2,0,2,2,3,3,2,3,2,1,6,4,2,4,2,7,0,2,1,4,1,3,1,3,3,2,4,1,2,3,5,1,2,1,0,6,1,0,1,1,2,0,2,2,3,0,0,0,0,2,1,0,1,1,1,2,1,2,4,1,2,2,3,2
77,rhino,2,4,4,7,6,2,5,4,6,5,0,4,4,7,6,1,4,4,7,5,3,2,6,6,6,3,4,6,6,5,3,4,6,3,6,2,3,5,7,6,4,2,6,5,6,3,1,5,3,5,0,1,0,1,2,4,2,4,5,6,4,3,5,4,6,3,2,6,5,6,2,3,5,6,6,4,2,7,6,6
78,airplanes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,3,1,0,1,0,3,3,0,2,0,1,2,0,0,0,1,2,0,1,0,1,2,1,7,1,2,4,0,6,3,5,3,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
79,Leopards,6,2,2,5,4,6,2,3,5,3,6,3,5,5,4,6,3,6,2,3,6,1,5,5,4,4,2,5,5,6,3,3,6,6,5,6,2,6,5,4,5,2,5,5,5,3,1,3,6,7,3,3,5,4,7,2,3,5,6,7,4,4,4,5,6,1,4,5,6,7,1,5,6,5,6,3,5,4,6,5
